Area_Class_text,area_class,climate_zone,area_km2
<0.01 km²,1,0,0
<0.01 km²,1,1,0
<0.01 km²,1,2,0
<0.01 km²,1,3,0.036
<0.01 km²,1,4,0
<0.01 km²,1,5,0
<0.01 km²,1,6,0
<0.01 km²,1,7,0
<0.01 km²,1,8,0
<0.01 km²,1,9,0
<0.01 km²,1,11,0
<0.01 km²,1,12,0
<0.01 km²,1,13,0
<0.01 km²,1,14,0.072000007
<0.01 km²,1,15,0
<0.01 km²,1,17,0
<0.01 km²,1,18,0
<0.01 km²,1,21,0
<0.01 km²,1,22,0
<0.01 km²,1,23,0
<0.01 km²,1,26,0
<0.01 km²,1,27,0
<0.01 km²,1,29,0
<0.01 km²,1,30,0
0.01-0.1 km²,2,0,0.625491315
0.01-0.1 km²,2,1,1087.011309
0.01-0.1 km²,2,2,964.6794434
0.01-0.1 km²,2,3,5060.657487
0.01-0.1 km²,2,4,823.4271272
0.01-0.1 km²,2,5,77.11453754
0.01-0.1 km²,2,6,1503.051103
0.01-0.1 km²,2,7,400.0486104
0.01-0.1 km²,2,8,59.525734
0.01-0.1 km²,2,9,40.48466537
0.01-0.1 km²,2,11,1907.615862
0.01-0.1 km²,2,12,351.7839903
0.01-0.1 km²,2,13,0.241199999
0.01-0.1 km²,2,14,4951.135173
0.01-0.1 km²,2,15,102.5587679
0.01-0.1 km²,2,17,1.234800025
0.01-0.1 km²,2,18,0.528300095
0.01-0.1 km²,2,21,0.391502003
0.01-0.1 km²,2,22,19.05294953
0.01-0.1 km²,2,23,33.82292705
0.01-0.1 km²,2,26,0.467099973
0.01-0.1 km²,2,27,0.979200067
0.01-0.1 km²,2,29,693.2707866
0.01-0.1 km²,2,30,1.027729123
0.1-1 km²,3,0,0.755399995
0.1-1 km²,3,1,2908.32106
0.1-1 km²,3,2,2162.750229
0.1-1 km²,3,3,8180.907898
0.1-1 km²,3,4,2478.538396
0.1-1 km²,3,5,216.7896375
0.1-1 km²,3,6,2548.907654
0.1-1 km²,3,7,643.2129349
0.1-1 km²,3,8,88.55007469
0.1-1 km²,3,9,53.79478065
0.1-1 km²,3,11,2251.232956
0.1-1 km²,3,12,430.4786551
0.1-1 km²,3,13,0.434700021
0.1-1 km²,3,14,5887.011695
0.1-1 km²,3,15,72.1956102
0.1-1 km²,3,17,2.528716698
0.1-1 km²,3,18,5.528700139
0.1-1 km²,3,21,0.75869997
0.1-1 km²,3,22,27.57868849
0.1-1 km²,3,23,63.37387714
0.1-1 km²,3,26,1.740157843
0.1-1 km²,3,27,0.872100019
0.1-1 km²,3,29,1139.176097
0.1-1 km²,3,30,1.714068767
1-10 km²,4,0,0
1-10 km²,4,1,4903.831143
1-10 km²,4,2,3871.683674
1-10 km²,4,3,9801.218454
1-10 km²,4,4,5296.438512
1-10 km²,4,5,668.9579713
